English Word	EN_ARTransliteration	French Word	FR_ARTransliteration
number	نامبر, نَمبَر, نمبر	numéro	نوميرو, نُوميرو, نومِرو
hotel	هوتيل, هوتل, هوتل	hôtel	أوتيل, هوتيل, أُوتيل
train	ترين, تران, ترينن	train	تران, تْران, ترين
restaurant	ريستورانت, رستورانت, ريستورنات	restaurant	رِستوران, رستوران, رِستورَان
name	نيم, نايم, نَيم	nom	نوم, نُم, نوم
water	واتر, وتر, ووتَر	eau	أُو, أو, أُو
yen	ين, يِن, ينن	yen	يَن, يِن, يَن
week	ويك, وييك, ويكك	semaine	سِمَن, سيمان, سِمَان
insurance	انشورنس, انسورانس, انشورانس	assurance	أسورَنس, أَسُرانس, أسورانس
month	مونث, مانث, منث	mois	موا, مويس, موا
red	ريد, رد, رِد	rouge	روج, رُوج, رُوج
possible	بوسبل, بوسيبل, بوزيبيل	possible	بوسيبل, پوسيبل, بُوسيبل
museum	ميوزيوم, موزيوم, ميوزيوم	musée	ميوزيه, موزه, ميوزِيه
door	دور, دوور, دورر	porte	بورت, بُورت, بورت
tea	تي, تيه, تيي	thé	تي, ثي, تي
white	وايت, واهت, وايتت	blanc	بلان, بْلان, بلان
stamp	ستامب, ستيمب, ستامب	timbre	تيمبر, تِمبر, تيمبِر
hospital	هوسبيتال, هاسبيتال, هوسبيتل	hôpital	أوبِتال, أُوبِيتال, هوبِتال
watch	واتش, ووتش, ووتش	montre	مونتر, مُونتر, مونتْر
pain , hurt	باين, هيرت, بين	douleur , mal	دولور, مال, دولور / مال
special	سبيشال, سبيشل, سبيشيال	spécial	سبيسيال, سبِسيال, سبيسيال
personal	بيرسونال, بيرسنال, بيرسونل	personnel	بيرسونيل, پيرسونيل, بيرسونيل
stay	ستاي, ستَي, ستاي	séjour	سيجور, سِيجور, سيجُور
fruit	فروت, فرووت, فرويت	fruit	فروي, فْرُوي, فروي
message	ميسج, مساج, ميساج	message	ميساج, مِيساج, ميساج
american	امريكان, اميركان, امريكَن	américain	أمريكان, أَمِريكَن, أمريكين
leather	ليذر, لاذر, ليتر	cuir	كُوير, كِوير, كوير
cold	كولد, كُولد, كولد	froid	فروآ, فرواد, فْرُوا
music	ميوزيك, موزيك, ميوزِك	musique	ميوزيك, موزيك, ميوزِيك
blanket	بلانكت, بلانكيت, بلانكِت	couverture	كوفيرتُر, كوفِرتور, كوفيرتُر
beach	بيتش, بيِتش, بيتش	plage	بلاج, بْلاج, بلاج
driver	دريفر, درايفر, دريفَر	chauffeur	شوفور, شاوْفور, شوفور
juice	جوس, جوسِ, جوس	jus	جو, جُوس, جو
market	ماركت, ماركِت, ماركِت	marché	مارشيه, مارشِه, مارشيه
tennis	تينيس, تنس, تينّس	tennis	تِنيس, تينيس, تِنِس
meeting	ميتينج, ميتينغ, متينج	réunion	ريونيون, رِيونيون, ريونيون
cheese	تشيز, تشيس, تشيزِ	fromage	فروماج, فْرُماج, فروماج
green	جرين, غرين, غرين	vert	ڤير, فير, ڤير
french	فرينش, فرنش, فرنش	français	فرانسيه, فرَنْسيه, فرانسيه
ham	هام, هامم, هام	jambon	جامبون, جَامبون, جامبُون
rice	رايس, ريس, رايس	riz	ري, رِيز, ري
opera	اوبرا, أوبرا, أوبيرا	opéra	أوبرا, أوبِرا, أوبيرا
account	اككاونت, اكّاونت, اككاونت	compte	كومبت, كُومبت, كومبت
direction	دايركشن, دايرِكشن, دايريكشن	direction	ديركسيون, دِيركسيون, ديركسيون
delicious	ديليشس, ديليشيوس, ديليشس	délicieux	ديليسيو, دِليسيُو, ديليسيُ
main	مين, ماين, مين	principal	برينسيبال, پرينسيبال, برينسيبال
magazine	ماجازين, ماگازين, ماجازين	magazine	ماجازين, ماغازين, ماجازِين
inch	انش, إنچ, إنش	pouce	بوس, بُوس, بوس
tip	تيب, تِب, تيب	pourboire	بوربوَار, پُوربُوار, بوربوير
pair	بير, باير, بير	paire	بَيِر, پير, بَيِر
fork	فورك, فوركك, فورك	fourchette	فورشيت, فورشِت, فورشيت
weekend	ويكند, ويكيند, ويكند	week-end	ويكند, ويك إند, ويكند
art	آرت, أرت, ارت	art	آرت, أَرْت, آرت
perfume	بيرفوم, برفوم, بيرفيوم	parfum	بارفان, پَارفان, بارفُوم
pepper	بيبر, بَبر, بيپر	poivre	بُوڤر, بُوفْر, بُوفر
prefer	بريفَر, بريفِر, بريفَر	préférer	پْرِفِرِه, بْريفِرِه, پْرِفيرِر
centimeter	سنتيمتر, سنتيميتر, سنتيمِتر	centimètre	سَنْتيمتر, سَنْتيمِتر, سَنْتيمتر
ocean	أوشن, أوسين, أوشِن	océan	أوسيان, أُوسيان, أوسِيان
ambulance	امبولانس, أمبولانس, أمبولانز	ambulance	أَمبولانس, أَمبُولَنس, أَمبولانس
pen	بن, پِن, بين	stylo	ستيلو, سْتيلو, ستيلو
wake	ويك, وِيك, ویک	réveiller	ريفاييه, رِيفاييه, ريفَيِه
express	اكسبريس, إكسپريس, اكسبريس	express	إكسبريس, إكسپريس, إكسبريس
souvenir	سُوفينير, سُوفنير, سُوفنير	souvenir	سُوفِنِير, سُوفَنير, سُوفِنير
fax	فاكس, فاکس, فكس	fax	فاكْس, فَكس, فاكْس
apple	آبل, أپل, أبّل	pomme	بوم, پوم, بوم
necessary	نيسسري, نيسيساري, نِسِسري	nécessaire	نِسِسير, نِسِيسير, نِسِسير
fresh	فريش, فريش, فريش	frais	فْرِيه, فريه, فْرِيه
zoo	زو, زوو, زُو	zoo	زو, زُو, زو
italian	ايتاليان, إيطاليان, إيتالين	italien	إيطاليان, إيطالي, إيطالين
language	لانغواج, لانجوِج, لنگويج	langue	لانغ, لَانغ, لانغ
summer	سمر, سامر, سَمَر	été	إتي, إِتي, إيتِه
chinese	تشاينيز, تشينيز, تشاينيز	chinois	شِينُوا, شِينواز, شِينُا
tomato	توماتو, تماطو, توماتو	tomate	تومات, تومَات, تومَات
blouse	بلوز, بلوُس, بلوزِ	chemisier	شوميزيه, شِمِزيه, شوميزيه
tomorrow	تومورو, تومورّو, تُمورو	demain , lendemain	دِمان, لاندِمَن, دِمان / لاندِمان
garden	جاردن, گاردن, جارڈن	jardin	جاردَن, جَردَن, جاردين
immigration	ايميجريشن, ايمِگريشن, امیگریشن	immigration	إِميغراسيون, إِميغراشيون, إِميغراسيون
temperature	تمبراتور, تمپرَتشر, تمپرَتير	température	تَمپِرَتُر, تَمبِرَاتُر, تَمپِرَاتُر
sick	سيك, سِك, سيك	malade	مالاد, مَلاد, مالاد
meter	ميتر, ميِتر, ميتر	mètre	مِتر, مِيتَر, مِتر
passport	باسپورت, پاسپورت, باسپُورت	passeport	پاسپور, بَاسپور, پاسپُورت
airport	ايربورت, ايربُورت, ايرپورت	aéroport	أيروبورت, أَيروبورت, أيروبورت
color	كولور, كالر, كولَر	couleur	كولور, كُلور, كولور
why	واي, وهاي, وائي	pourquoi	بوركوا, پُوركوا, بوركُوا
tax	تاكس, تاكْس, تاكس	taxe	تَكس, تاكس, تَكس
right	رايت, رایت, رايت	droite	درُوات, درُوت, درُوات
gate	گيت, گيتْ, گيت	dollar	دولار, دُولار, دولار
dollar	دولار, دولر, دُلار	réservation	ريزرفاسيون, رِزيرفاسيون, ريزرفاسيون
reservation	ريزيرفيشن, ريزرفيشن, ريزرفيشن	café	كافي, كَافيه, كافي
coffee	كوفي, قهوة, كوفي	carte	كارت, كَارت, كارت
card	كارد, كَرد, كارد	aider	إِدِيه, أيدِيه, إِدِيه
help	هيلب, هلب, هلب	chaussure	شوسور, شُوسور, شوسور
shoe	شو, شوو, شُو	accepter	أكسبتيه, أَكسپتيه, أكسبتيه
accept	أكسبت, أسبت, اكسبت	crédit	كريدِ, كْرِيدِ, كريدِ
credit	كريدت, كريديت, كريت	merci	ميرسي, مِرسي, ميرسي
thanks	ثانكس, ثانكْس, ثَانكس	service	سيرفيس, سِيرفِيس, سيرفيس
service	سيرفيس, سيرفِس, سرفيس	cigarette	سِغارِت, سِيجارِت, سِغارِت
cigarette	سيجريت, سيگارِت, سِجاريت	ici	إيسي, إِيسي, إيسي
here	هير, هِير, هِير	cravate	كرافات, كْرافات, كرافَت
tie	تاي, تَي, تايِ	appareil photo	أبارايِ فُوتو, أَپَارايِل فوتو, أبارايِل فوتو
camera	كاميرا, كامِرا, كاميرَا	minute	مينوت, مِينوت, مينُوت
minute	مِينت, مينِت, مِينت	question	كِسْتْيُون, كِسْتْيون, كِسْتِيُون
question	كويستشن, كويستِيون, كويستشن	mal de tête	مال دو تِت, مَال دو تِت, مال دو تيت
headache	هيديك, هِدَيك, هيديك	annuler	أنوليه, أَنوليه, أنولِيه
cancel	كانسل, كنسِل, كانسِل	décider	دِسِدِيه, دِسيدِيه, دِسِيديِه
decide	ديسايد, ديسِيد, ديسايد	où	أُو, أُو, أُو
where	وير, وِهَر, وِير	voiture	فُواتُر, فُواتور, فُواتر
car	كار, كَر, كارر	adresse	أدرس, أَدْرِس, أدرس
address	أدرس, أدريس, أدرِس	entrée	أَنْترِيه, أَنْتْرِيه, أَنْترِيه
entrance	انتْرانس, إنتْرانس, انتِرنس	budget	بُدجيه, بُودجيه, بُدجيه
budget	بَجدِت, بودجت, بَجِت	petit déjeuner	پتي دِژُونِيه, پِتِي دِژُونِيه, پتي دِژُونِيه
breakfast	بريكفاست, بريكفست, بريكفاست	sentir	سَنْتِير, سَنْتِر, سَنْتِير
feel	فيل, فِيل, فيل	vendre	فَندْر, فَندْر, فَندْر
sell	سيل, سِل, سيل	oeil	أُوِيل, أُوِيل, أُوِيل
eye	آي, اي, أي	se inquiéter	سْآنكيتِيه, سَانكيتِيه, سْآنكيتِيه
worry	ووري, وُرّي, ووري	accident	أكْسِيدَنْ, أكْسِيدَنْ, أكْسِيدَنْ
accident	أكسيدنت, اكْسِدِنت, اكْسيدِنت	commande	كُومَند, كُومَند, كُومَند
order	أوردر, أُردَر, أوردَر	montagne	مونتانْ, مونتاني, مونتانْ
mountain	ماونتين, ماونتن, مونتن	boeuf	بوف, بُوف, بوف
beef	بيف, بِيِف, بيف	savon	سَافون, سافُن, سَافُن
soap	صاب, سوب, سوب	bague	باگ, بَاغ, باگ
ring	رينج, رِنج, رينق	bus	بُوس, بوس, بُوس
bus	بس, بَس, بَسْ	local	لوكال, لُوكال, لوكال
local	لوكال, لوكَل, لوكال	comprendre	كومپْرَوندْر, كومپروندْر, كومپْرَوندْر
understand	أندرستاند, أندِرستاند, أندَرستاند	viande	فياند, فِياند, فياند
meat	ميت, مِيت, مِت	golf	غولف, گولف, غولف
golf	جولف, غولف, غولف	pain	پَنْ, پَان, پَنْ
bread	برِد, بريد, برِيد	légume	لِگُوم, ليغوم, لِگُوم
vegetable	فِجيتبل, فِجِتِبل, فيجيتبل	cocktail	كوكتيل, كوكْتِيل, كوكتِيل
cocktail	كوكتيل, كوكتايل, كُكتيل	steak	ستَيك, سْتِيك, ستَيك
steak	ستيك, ستيِك, ستِيك	copie	كوبِي, كُوبي, كوبِي
copy	كَوبي, كوبي, كُوبي	école	إيكول, إيكُول, إيكول
school	سكول, سكولل, سكول	homme	أُوم, أُوم, أُوم
man	مان, مَن, مان	étranger	إترانجيه, إتْرَانْجيه, إترانجيه
foreign	فورين, فورِن, فورِين	usage	يوزاج, يُوزاج, يوزاج
use	يوز, يوزِ, يوس	naturel	ناتوريل, ناتورَل, ناتوريل
natural	ناتشورال, ناتشورل, ناتشرال	vie	في, فِي, في
life	لايف, لَايف, لايِف	dîner	دِينِيه, دِينير, دِينِيه
dinner	دينر, دِنر, دِينَر	entendre	أَنْتَندر, أَنْتِندْر, أَنْتَندر
hear	هير, هِير, هِر	arrêt	أَرِي, أَرّيه, أَرِي
stop	ستوب, ستُب, ستوب	vue	فُو, فُو, فُو
view	فيو, فِيُو, فيو	manteau	مَنتو, مَنتو, مَنتُو
coat	كوت, كُوت, كوت	contrat	كُنترَ, كونتْرَا, كُنترَ
contract	كونتراكت, كونتراكت, كُنتراكت	vol	فُول, فُول, فُول
flight	فلايت, فِلَيت, فليت	livre	ليفر, لِيفر, لِفر
book	بوك, بُوك, بوك	acheter	آشِتِيه, أَشِتِيه, آشِتِيه
buy	باي, بَي, بايِ	classe	كلاس, كْلاس, كلاس
class	كلاس, كلاس, كِلَس	chemise	شَمِيز, شَمِيز, شَمِيز
shirt	شيرت, شِرت, شيرت	système	سِيسْتَم, سِستَم, سِيسْتَم
system	سيستم, سيسْتِم, سيستِم	regarder	رِگارْدِيه, رِغاردِيه, رِگارْدِيه
bacon	بيكون, بِيكون, بايكون	bacon	باكون, باكُن, باكون
pizza	بيتزا, بيتْزا, بيتسا	pizza	بيتزا, بيتزَا, بيتزا
plan	بلان, بْلان, پلان	projet	پروجيه, پروجي, پروجيه
point	بوينت, بُوينت, بُوِنت	point	پوان, بوان, پوان
arm	آرم, آرْم, أرَم	bras	برا, بْرا, برا
visit	فيزيت, فيزِت, فِزيت	visite	فيزيت, فيزِيت, فيزيت
history	هيستوري, هِستوري, هيستُري	histoire	إيسْتوار, إيستور, إِستوار
lock	لوك, لُوك, لوك	enfermer	أَنْفِرْمِيه, أَنْفِرْمِيه, أَنْفِرْمِيه
child	تشايلد, شيلد, تشايلد	enfant	أَنْفان, أَنْفَان, أَنْفان
room	روم, رُوم, روم	chambre	شَامبْر, شَمْبر, شَامبر
wear	وير, وِير, وير	porter	پورتيه, بُورتي, پورتيه
nearest , nearer	نيرست, نيرَر, نيرست	plus proche	بلُس بروش, بْلُس بروش, بْلُس بروش
friend	فريند, فرِند, فْريند	ami	أَمي, أَمِي, أَمي
egg	ايج, إِج, إج	oeuf	أُوف, أُوف, أُوف
side	سايد, سِيد, سايِد	côté	كوتي, كُوتي, كوتي
chicken	تشيكن, شِكن, تشيكن	poulet	پولييه, پولِي, پولييه
lunch	لانش, لَنش, لانش	visiter	فيزِيتِيه, فيزِيتي, فيزيتِيه
different	ديفِرنت, دِفرنت, ديفرِنت	déjeuner	دِژُونِيه, دِژُونِيه, دِژُونِيه
shower	شاور, شَوِر, شاور	différent	دِفِرَان, دِفِرَان, دِفِرَان
japanese	جابانِيز, جابانيس, جابانيز	douche	دوش, دُوش, دوش
country	كانتري, كَونتري, كانتري	japonais	جابونيه, جَابونِيه, جابونيه
new	نيو, نيوو, نُو	pays	پِيه, پايِس, پِيه
bottle	بوتل, بوتِل, بوتل	nouveau	نُوفو, نُوفو, نوفو
sugar	شوغر, شُجَر, شوگَر	bouteille	بوتييه, بوتَيِيه, بوتييه
word	وورد, وُرد, وُرد	sucre	سُكر, سُوكْر, سُكر
street	ستريت, ستريِت, ستريت	mot	مو, مُو, مو
trip	تريب, تْرِب, تريب	rue	رو, رُو, رو
forget	فورجِت, فورغِت, فورجِت	voyage	فُواياج, فُويَاج, فُواياج
manager	ماناجر, مَانَجَر, مانِجر	oublier	أوبليه, أُوبلي, أوبليه
night	نايت, نَايت, نيت	directeur	ديرِكْتُر, ديرِكتور, ديرِكتر
place	بليس, بْلِيس, بليس	nuit	نوي, نُوي, نوي
sure	شور, شُور, شُوَر	endroit	أَنْدْرُوَا, أَنْدْرُوا, أَنْدْرُوَا
court	كورت, كُورت, كُرْت	sûr	سُور, سُور, سُور
morning , a.m.	مورنينج, مورنِنج, مورنيج	court	كور, كُور, كور
salad	سالاد, سَلاَد, سالَد	matin	ماتان, مَاتِين, ماتان
fish	فيش, فِش, فِيش	salade	سالاد, سَالاد, سالاد
product	برودكت, برودِكت, برودِكت	poisson	بُواصون, بُوسون, بُواصون
double	دابل, دُوبل, دابل	produit	برُودُوي, برودوي, برُودُوي
meal	ميل, ميِل, مِيال	double	دُوبل, دُوبِل, دُوبل
doctor	دوكتور, دُكتور, دَكتَر	repas	رِپَا, رِپاس, رِپَا
police	بوليس, بولِس, بولِيس	médecin	مِدِسين, مِديسِين, مِدِسين
read	ريد, ريدِ, رِيد	police	بولِيس, بُولِيس, بولِيس
boat	بوت, بُوت, بوت	lire	لِير, لِير, لير
cash a check	كاش ا شيك, كاشْا شِك, كاش اشِك	bateau	باتو, بَاتو, باتو
sea	سي, سِي, سِ	encaisser un chèque	أَنْكَيسِيه أُن شِك, أَنْكَيسِي أُن شِك, أَنْكَيسِيه أُن شِك
slope	سلوب, سلوبِ, سلوب	mer	مِير, مير, مِير
letter	لتر, ليتر, لِتر	pente	پَانت, پَنْت, پَنت
hat	هات, هَت, هات	lettre	لِتر, لِتْر, لِتر
be	بي, بِ, بي	chapeau	شَاپو, شابُو, شَاپو
soup	سوب, سُوب, سوب	être	إِتر, إِتْر, إِتر
clothes	كلوز, كلوثس, كلُوز	soupe	سُوب, سوب, سُوب
receipt	ريسيت, رِسيت, ريسِت	vêtement	فِتْمَان, فِتمَان, فِتْمَان
dish	ديش, دِيش, ديش	reçu	رِسُو, رِسُو, رِسُو
wait	ويت, وَيت, وِيت	plat	پلات, پْلات, پلات
form	فورم, فُورم, فورم	attendre	أَتَندْر, أَتْنْدْر, أَتَندْر
theater	ثياتر, ثِيتر, ثياتِر	formulaire	فُورْمُولير, فُورمُولِير, فُورْمُولير
want , would like	وانت, وُلد لايك, ونت	théâtre	تِيآتْر, تيآتْر, تِيآتْر
wine	واين, وَاين, واین	vouloir	ڤُولُوَار, ڤولُوار, ڤُولُوَار
smoking	سموكينج, سموكِنغ, سموكِينج	vin	ڤان, ڤِين, ڤان
sit	سيت, سِت, سِت	fumer	فُومِيه, فُومِي, فُومِيه
borrow	بورو, بَرو, بَرُو	se asseoir	سْآسُوَار, سَآسُوَار, سْآسُوَار
best , better	بيست, بِتر, بستر	emprunter	أَنْپْرُونتِيه, أَمْپْرونتِيه, أَنْپْرُونتِيه
medicine	ميديسين, ميدِسين, ميدِسِن	meilleur	مِيلْيُور, مِيليور, مِيلْيُور
reserve	ريزيرف, رِزيرف, ريزِرف	médicament	مِدِيكَمَان, مِدِيكَمَان, مِدِيكَمَان
seem	سيم, سِيم, سيِم	réserver	رِيزِيرڤِيه, رِيزِيرڤِي, رِيزِيرڤِيه
operator	أوبيراتور, أوبيراتُر, أوبيريتور	sembler	سَامبِلِيه, سامبليه, سَامبِلِيه
explain	اكسبلين, إكسپلين, اكسبلِن	opérateur	أُوبِرَتُور, أوبيرَتُور, أُوبِرَتُور
depend	ديبند, دِبند, ديبِند	expliquer	إِكْسْپلِكِيه, إكْسْپلِكِي, إِكْسْپلِكِيه
program	بروغرام, بروغرام, بروغرام	dépendre	دِپَوندْر, دِپَوندْر, دِپَوندْر
table	تيبل, تِيبِل, تيبل	programme	پروغرام, بْرُوغْرام, پروغرام
appointment	ابوينتمنت, ابوينتِمنت, أبويْنتمنت	table	تابْل, تَابل, تابْل
stomach	ستومَك, ستُمَك, ستُمَك	rendez-vous	رَاندِڤو, رَانديفُو, رَاندِڤو
belt	بيلت, بِلْت, بِلْت	estomac	إِسْتُوماك, إستُوماك, إِسْتُوماك
steal	ستيل, سْتيل, سْتِل	ceinture	سَنتُر, سَنْتُور, سَنتُر
give	جِف, جيف, جِيف	voler	فُولِيه, فُولير, فُولِيه
seat	سيت, سِيت, سِت	donner	دُونِيه, دُنِيه, دُونِيه
paper	بيبر, بِيبر, بيپر	place	پلاس, بْلاس, پلاس
size	سايز, سِيز, سايِز	papier	پاپِيِيه, پاپييه, پاپِيِيه
speak , talk	سبيك, توك, سبيك	taille	تايِيه, تَايل, تايِيه
look for	لوك فور, لوكفور, لوك فور	parler	پَرْلِيه, پَارْلِيه, پَرْلِيه
maybe	مِيبّي, ميبي, مِيبي	chercher	شِرْشِيه, شَرْشِيه, شِرْشِيه
foot	فوت, فُوت, فوت	peut-être	پُو-تِتْر, پُو-تِتْر, پُو-تِتْر
case	كيس, كيسِ, كَيس	pied	پِيِيه, پيد, پِيِيه
bed	بيد, بِد, بَد	cas	كا, كَاس, كا
driver 's license	رخصة سائق, رِخصة سايك, رخصة درايفر	lit	لِي, لِيت, لِي
wonderful	وندر فول, وندرفول, وُنْدرفول	permis de conduire	پِرْمِيه دُو كُنْدُير, پِرْمِي دُو كُونْدُور, پِرْمِيه دُو كُنْدُير
plate	بليت, بلييت, بليت	merveilleux	مِيرڤِيو, مِيرڤِيُو, مِيرڤِيو
reconfirm	رِيكونفرم, رِيكونفِرم, رِيكونفورم	assiette	أَسِيِيه, أَسِيِت, أَسِيِيه
lipstick	ليبستيك, ليبسِتك, ليبستِك	reconfirmer	رِكُونفِيرمِيه, رِكُوفِيرمِيه, رِكُونفِيرمِيه
call	كول, كَال, كول	rouge à lèvre	رُوج آ لِيفر, رُوج آ لِڤر, رُوج آ لِيفر
platform	بلاتفورم, بلاتفُرْم, بلاتفورم	appel	أَپِل, أَپِل, أَپِل
fever	فيفر, فِيڤَر, فِيڤَر	quai	كِي, كِي, كِي
old	أولد, أُلد, أولد	fièvre	فِيِيفر, فِيڤر, فِيِيفر
play	بلاي, پْلاي, بلاي	vieux	ڤيو, ڤيُو, ڤيو
station	ستيشن, ستيشن, ستايشن	jouer	ژُوِيه, ژوييه, ژُوِيه
picture	بيكچر, بيكْتشر, پِكْتشر	gare	گار, غار, گار
line	لاين, لاين, لِين	photo	فوتو, فُوتو, فوتو
serve	سيرف, سِرف, سيرف	ligne	لِينْ, لِينْ, لِينْ
idea	آيديا, أيديا, آيدِيا	servir	سِرڤِيه, سِرڤير, سِرڤِيه
menu	مينيو, مِينُو, مينو	idée	إِدِيه, إِدي, إِدِيه
gift	جيفت, گِفت, گيفت	menu	مِينُو, مِينُو, مِينُو
pay	باي, پِي, باي	cadeau	كادُو, كادو, كادُو
guide	جايد, گايد, گاید	payer	پايِيه, پَيِيه, پايِيه
date	ديت, دِيت, دِيت	guide	گِيد, گايد, گِيد
there	ذير, ذِير, ذَر	date	دات, دات, دات
day	داي, دَي, داي	là-bas	لا-بَ, لا-بَا, لا-بَ
people	بيبول, بيپول, بيپِل	jour	ژُور, جور, ژُور
subway	سَبواي, سَب وِي, سبواي	gens	ژَان, جَان, ژَان
baggage , luggage	باچيج, لوجِ, باچِج	métro	مِيترو, ميترو, مِيترو
cent	سنت, سينت, سِنت	bagage	بَاغَاج, باݢاج, بَاغَاج
light	لايت, لَايت, ليت	centime	سَنْتِيم, سَنْتِيم, سَنْتِيم
price tag	برايس تاج, برايستاج, برايس تَاج	bon	بُن, بون, بُن
put	بوت, پُت, پوت	léger	لِيجِيه, لِجِير, لِيجِيه
beer	بير, بِيِر, بير	étiquette de prix	إِتِكِيت دُ پْرِيس, إِتِكِيت دُ بْرِيس, إِتِكِيت دُ پْرِيس
aisle	آيل, آيل, آيِل	mettre	مِتْر, مِتّر, مِتْر
hair	هير, هِير, هير	bière	بِير, بِيِير, بِير
wonder	وندر, وُنْدر, وندر	couloir	كُولُوار, كولوار, كُولُوار
join	جوين, جُوين, جوين	cheveu	شِڤو, شڤو, شِڤو
end	إند, إندْ, إند	demander	دِمَندِيه, دِمَندِي, دِمَندِيه
family	فاميلي, فَمِلي, فاميلي	droit	دْرُوت, دْرُوات, دْرُوت
building	بيلدينج, بِلْدينج, بيلدينج	joindre	جُويندْر, جُوِيندْر, جُويندْر
what time	ووت تايم, وات تايم, وُت تايم	bout	بوت, بُوت, بوت
break	بريك, بْريك, بريك	famille	فامي, فامِيل, فامي
