ID,English,French,MSA,POS,Easy,Medium,Hard
2,hotel,hôtel,فُنْدُق,NOUN,اوتيل | اوتال | هوتيل | وتيل,اطل | لوكندة,لكوندة | وطيل
3,train,train,قِطار,NOUN,تران | ترين,ترينو,ريل | طران | طرن | وابور
4,restaurant,restaurant,مَطْعَم,NOUN,رستوران,ريستوران,ريستو | ريستورو
9,insurance,assurance,تَأْمِين,NOUN,ضمان | ضمانة,اسيرونس | اسرنس,بوليصة | بيما | سيقورطة | لاصورونس
12,possible,possible,مُمْكِن,ADJ,احتمال | جايز | محتمل | معقول | وارد | يجوز | يمكن,بيصير | بلاك | بوسيبل | جائز | مباح | مسموح | يصير,اسكه | بيجوز
20,"pain , hurt","douleur , mal",أَلَم,NOUN,وجع,جرح | حرق | حريق | سهر | ضر | عذاب | وجيعة,عوار
23,stay,séjour,إِقامَة,NOUN,قعدة,بيات | سجور | سيجور | قعاد | مبيت,جلسة | نزلة
30,blanket,couverture,بَطّانِيَّة,NOUN,غطا | غطاء | لحاف,حرام | فراش,برنوص | شاذر | فرشية | كمبل | كوفرتة | كيشة | ملاية
31,beach,plage,شاطِئ,NOUN,بحر | بلاج,كورنيش,ساحل | لابلاج
33,juice,jus,عَصِير,NOUN,جو,شراب | شربت,زوم
36,meeting,réunion,ٱِجْتِماع,NOUN,تجمع | جلسة | جمعة | لقاء,قعدة | لمة | مقابلة | ملتقى,ريونيو | ريينيو | ملاقاة | ندوة
44,direction,direction,ٱِتِّجاه,NOUN,جهة | طريق,جنب | جيهة | صوب | مسار | ناحية | وجهة | يم,شيرة | صفحة | صلا | مسلك | ميلة | يمة
45,delicious,délicieux,لَذِيذ,ADJ,حالي | حلو | طعم | طيب,بنين | ذكي | زين | شهي | طاعم | طعيم | لطيف,بيشهي | زاكي
46,main,principal,رَئِيسِيّ,ADJ,اساسي,لازم | مركزي | هو صح,جوهري | عمومي | لاباز | ليسونسيل
49,tip,pourboire,بَقْشِيش,NOUN,اكرامية | بوربوار,بخشيش | حق التعب | حلاوة | حلوان,تضويرة | تيبس | مساعدة | مكافأة
50,pair,paire,زَوْج,NOUN,اثنين,الاثنين | جوز,اثنيناتهم | ازواز | جزمة | جوج | حبتين | زوز | فردتين
52,weekend,week-end,نِهايَة ال+ أُسْبُوع,NOUN,نهاية الاسبوع | ويكيند | ويكاند,آخر الاسبوع | آخر الجمعة | عطلة | عطلة نهاية الاسبوع,الجمعة
56,prefer,préférer,فَضَّل,VERB,حب | خير,استخار | عجبه اكثر,استروح | بدى | حبز
60,pen,stylo,قَلَم,NOUN,ستيلو,قلم حبر,بنينة | بيرو
61,wake,réveiller,أَيْقَظ,VERB,صحى | صحي | قعد | قوم,فيق | قيم | نوض,نهض | وعى
62,express,express,سَرِيع,ADJ,اكسبريس | اكسبرس,مستعجل,بسرعة | داوي | رابيد | فريرة | مزروب | مسرع
63,souvenir,souvenir,تَذْكار,NOUN,سوفنير,ذكرى | هدية,تحفة قديمة | حاجة تذكارية | صوغة
66,necessary,nécessaire,ضَرُورِيّ,ADJ,لازم | مطلوب | مهم,واجب,مستلزم
68,zoo,zoo,حَدِيقَة ال+ حَيَوانات,NOUN,حديقة الحيوان | حديقة الحيوانات | حديقة حيوان | حديقة حيوانات | زو,جنينة الحيوان,بوسكو
76,garden,jardin,حَدِيقَة,NOUN,بستان | جنان | جنينة,ارض | جردان | جردة | حقل | روضة | منتزه,زراعة | نجيلة
79,sick,malade,مَرِيض,ADJ,تعبان,سهران | عليل | عيان | ماني طيب | مالاد | متخربط | متمرض | مرضان,اتمرض | متوعك
81,passport,passeport,جَواز سَفَر,NOUN,باسبور | جواز,بسبور,باسبورت
83,color,couleur,لَوْن,NOUN,كولور,صبغة,صبيغة
84,why,pourquoi,لِماذا,ADV,علاش | لويش | ليش | ليه,حال موه | عشان شنو | عليش | لواش | وراه | وعلاش,حموه | علاه | للمه | لليش
92,help,aider,ساعَد,VERB,دعم | عاون | نفع,ايد | خدم | ساند | سند | فاد | لحق | نجد,اسعف | اغاث | انجد | سعف | فزع
95,credit,crédit,ٱِئْتِمان,NOUN,رصيد | كريدي,تسليف | دين | سلف | سلفة | سلفية | قرض,بطاقة ائتمان
96,thanks,merci,شُكْراً,NOUN,مرسى | مشكور,احسنت | تسلم | صحيت | عشت | عيشك | ما قصرت | ميرسى | مرسي عليك | يسلموا | يعطيك الصحة | يعطيك العافية | يعيشك,صحة | متشكر
97,service,service,خِدْمَة,NOUN,معروف,سرفيس | سيرفيس | طلب | مساعدة,امارة | قضية | مزية
98,cigarette,cigarette,سِيجارَة,NOUN,دخان,جارو | جيرو,شقارة | شكارة | جيكارة | زجارة | زقارة | سبسي | سيكارة
100,tie,cravate,رَبْطَة عُنْق,NOUN,كرافات | كرفتة | كرافاتة,رباط | ربطة,جرافة | جرفطة | قرباطة | قرواطة | كرافة | نكتاي
104,headache,mal de tête,صُداع,NOUN,وجع الراس | وجع راس | وجعية راس,حريق الراس | صداع الراس | وجع فالراس,شقيقة | مصدع | ميجران
105,cancel,annuler,أَلْغَى,VERB,بطل | كنسل,مسح,انولا
107,where,où,أَيْنَ,ADV,فين,على هين | هين,فينه
110,entrance,entrée,مَدْخَل,NOUN,دخلة | دخول,باب رئيسي | منفذ,دشة | طرقة | مشاي
116,worry,se inquiéter,قَلِق,VERB,تقلق,اتوتر | انهم | توسوس | خاف | هم | وسوس,اتحير | اتقلق | اتهم | ادوده | تشوش | تنشن | توجس | حاتى | فزع | مخبوص
117,accident,accident,حادِث,NOUN,اكسيدون,دعمة,كسدة | مصيبة
118,order,commande,طَلَب,NOUN,اوردر,امر | كماندة | كموند | كوموند,#N/A
120,beef,boeuf,لَحْم بَقَرِيّ,ADJ,لحم عجل,بقري | عجل | لحم هوش,بتلو | شمبري
123,bus,bus,حافِلَة,NOUN,باص | بص,اتوبيس | النقل الجماعي | امجاد | بوس | ريم | توبيس,تاته | دباب | كار | كوس | منشأة
124,local,local,مَحَلِّيّ,ADJ,بلدي | لوكال,الدار | اهلي | داخلي | عماني | منزلي,موضعي
131,steak,steak,شَرِيحَة لَحْم,NOUN,استيك | ستيك,شطفة لحم | قطعة لحم,بفتيك | شرحة | قطعة | لحمة
135,foreign,étranger,أَجْنَبِيّ,ADJ,خارجي | غريب,اعجم | اعجمي | براني | خواجة | عجمي | كوري | وافد,افرنجي
136,use,usage,ٱِسْتِخْدام,NOUN,استعمال,استغلال | استفادة | انتفاع | فايدة | منفعة,استنفاع | ستعمال
137,natural,naturel,طَبِيعِيّ,ADJ,عادي,ناتورال,فطري | نورمال
140,hear,entendre,سَمِع,VERB,تسمع,فهم,استاخ | تصنت | تصنط
141,stop,arrêt,مَحَطَّة,NOUN,موقف,وقفة,ركنة | صطب | لاري | نقطة
142,view,vue,مَنْظَر,NOUN,مشهد,طلة | فيو,شوفة | فرجة
143,coat,manteau,مِعْطَف,NOUN,جاكيت | كوت,جاكيتة | سترة | قميص | كبوت,بالطو | جاكة | فيستة | قبوط | كبود | كبوط | مونطو
144,contract,contrat,عَقْد,NOUN,اتفاق,اتفاقية | حجة | كونترا | كنتراتو | كنترا,تفاقية | كنترادة | مستند
145,flight,vol,رِحْلَة,NOUN,فول,رحلة طيران | سفرة | طيارة | طيران,سفرية
148,class,classe,دَرَجَة,NOUN,طبقة | كلاس | مستوى | نوع,صف | مرتبة | مكانة | موديل,صنف | طراز
149,shirt,chemise,قَمِيص,NOUN,شميز,تيشيرت | شوميز | شيرت | فنيلة | فانيلة,بلوزة | سورية | فنلة | قمجة | قميجة
151,watch,regarder,شاهَد,VERB,تفرج | اتفرج | تابع | راقب | شاف,ابصر | حضر | خزر | طالع | ناظر,باوع | حتر | دحج | رابى | شبح | غزر
156,arm,bras,ذِراع,NOUN,ايد | يد,زند | ساعد,دراع
159,lock,enfermer,أَغْلَق,VERB,سد | سكر | قفل,تربس | شد | صك,طفى
160,child,enfant,طِفْل,NOUN,جاهل | صغير | عيل | فرخ | ولد | وليد,بوبو | بيبي | دري | نونو | نيني | واد,زعطوط | زغتور | شافع | شنتي | صبي | نجاع
161,room,chambre,غُرْفَة ، حُجْرَة,NOUN,بيت,اوضة | دار | شومبرا,صفة
164,friend,ami,صَدِيق,NOUN,امي | رفيق | صاحب,حبيب | خبير | خل | خوي | ربع | ربيع | صحوبة,رفيج | زميل
166,side,côté,جانِب,NOUN,جهة | طرف | وجه,جزء | جيهة | حد | ريح | شق | صايد | صف | صوب | كوتي | ناح | ناحية | وج | وش | يم,صفحة
170,different,différent,مُخْتَلِف,ADJ,غير,عكس | غير شكل | فرق | ماشي كيف كيف,مبدل | متفاوت
171,shower,douche,دُوش,NOUN,حمام,شاور,بانيو | سبحة | سبوح
173,country,pays,بَلَد,NOUN,دولة,ريف | قطر,ديرة
174,new,nouveau,جَدِيد,ADJ,حديث,آخر موديل | جديد لنج | نوفي,بورقته | خلنج | فرش | لنج | مودرن | يديد
175,bottle,bouteille,زُجاجَة,NOUN,بطل,قزازة,ازاجة | ازازة | بوتاي | جزازة | دبة | دبوزة | دبوسة | شيشة | شيشة قزاز | علبة | غرشة | قارورة | قرعة | قمقمي | قنينة | مطارة
178,street,rue,شارِع,NOUN,درب | طريق,زنقة,حارة | رصدة | زاروب | زاروبة | زغط | زغطي | سكة
179,trip,voyage,رِحْلَة,NOUN,سفر | سفرة | مشوار,سفرية | طلعة | فواياج,جولة | روحة | شومة | ضهرة
182,night,nuit,لَيْل,NOUN,عشا | مسا,العشية | عشي | عشية,فالليل
183,place,endroit,مَكان,NOUN,محل | موضع | موقع,بقعة | بلاصة | جهة | مطرح | ناحية,دعنة
184,sure,sûr,مُتَأَكِّد,ADJ,اكيد | سور | واثق,حقيقي | من جد,مأكد | متيقن
189,product,produit,مُنْتَج,NOUN,انتاج | بردو,برودوي | بضاعة | سلعة | محصول | ناتج,صناعة | غرض | غلة
190,double,double,مُزْدَوِج,ADJ,دبل | دوبل | ضعف | مضاعف,اثنين | ثنين | مدبل | مدوبل,زوز | مثني | مجوز
191,meal,repas,وَجْبَة,NOUN,اكل | اكلة | صحن | طبخة | طبق,اكال | رب | فطور,روبى | طقة | ماكلة
192,doctor,médecin,طَبِيب,NOUN,دكتور | دكتورة,حكيم | ميدسان,تكتور | دختور
193,police,police,شُرْطَة,NOUN,بوليس | بوليسية,امن | درك,النجدة | لابوليس | لبوليس | نجدة
195,boat,bateau,قارِب,NOUN,باتو | زورق | مركب,بابور | بلم | سفينة | شختورة | فلوكة,طراد | لنج
198,slope,pente,مُنْحَدَر,NOUN,نازل | نزلة,حدورة | حنية | دحديرة | منحنى | منزل | ميل | نازولة | نزلاية | هبطة,دحدورة | دردوحة | سفح | قحمة | لابونت | نصة | هوير
199,letter,lettre,خِطاب,NOUN,جواب | رسالة | مكتوب,كلمة,بروة | ديسكور | قرطاسة | ورقة
200,hat,chapeau,قُبَّعَة,NOUN,شابو | طاقية,برنيطة | كاب | كاسكيت,بيريه | شاشية | شفقة | طربوش | كاسكيتة | كبوس | كلاو | كمة | كوفية
202,soup,soupe,حَساء,NOUN,شربة | شوربة,مرق | مرقة,سخونة | صوبة
203,clothes,vêtement,مَلابِس,NOUN,ثياب | لباس | لبس | هدوم,ازياء | حوايج | زي | كسوة | هدمة,اواعي | تياب | دبش | قش
205,dish,plat,طَبَق,NOUN,صحن,اكلة | بلا | تبسي | ماعون | وجبة,صينية | طبخة | قصعة | ماكلة | مكلة | وعا
206,wait,attendre,ٱِنْتَظَر,VERB,استنى | صبر,اصبر | نطر | تاني | جلس | ستنى,اتأنى | اتريع | تحين | تسن | تهيد | توانى | راعى | ريض | ريع
207,form,formulaire,ٱِسْتِمارَة,NOUN,نموذج,طلب | فرمة | فرملر | فورميلير | مطلب | ورقة,اورنيك | كليشة
209,"want , would like",vouloir,أَراد ، وَدّ ، رَغِب,VERB,احتاج | حب | طلب,بغى | شاء | عاز | كان بده | كان داير | كان عايز | كان مشتهي | كان يبغى | كان يبى | كان يبي | يبي,اشتى | اشتي
211,smoking,fumer,تَدْخِين,NOUN,دخان,شراب السجاير,تكيف | دوخة | كميان
212,sit,se asseoir,جَلَس,VERB,قعد,اتربع | استراح | برك | تجلس | تربع | ريح,انجعس | تجضع | قعمز | قمبر | قمعز | قوحز | كدس | هجع
214,"best , better",meilleur,أَفْضَل,ADJ,اجود | احسن | خير,اخير,ابهر | احلى | ازبط
217,seem,sembler,بَدا,VERB,الظاهر | بان | بين | شكله | ظهر | كان شكله,بان كشغل | كان باين | كان شكل | كنه,اثاري | تهايا | عثاري | لاح
218,operator,opérateur,عامِل ال+ تِلِفُون,NOUN,عامل التلفون,ابو البدالة | الراجل | اوبراتور | بدالة | عامل البدالة | عامل المقسم | موظف الاستعلامات | موظف السنترال,ابرطر | استعلامات | البدالة | المرة | الاوبيريتر | سنترال | ستوندارديست
219,explain,expliquer,شَرَح,VERB,بين | فسر | فهم | وضح,اول | خبر | فصل,علل
220,depend,dépendre,تَوَقَّف عَلَى,ADP,اعتمد | اعتمد على | حسب,باش لازم | قايم على | واقف على | يعتمد على,اتكل | مرهون
222,table,table,مائِدَة,NOUN,طاولة,طرابيزة | سفرة | طابلة | طبلة,تخت | ترابيزة | صفرة | طبلية | وليمة
224,stomach,estomac,مَعِدَة,NOUN,بطن,كرش | كرشة,لاسطومة | ليسطومة
225,belt,ceinture,حِزام,NOUN,سانتور,زنار | سانتورة | سير | نطاق,حزاق | سبتة | سمطة | قشاط
226,steal,voler,سَرَق,VERB,باق | نهب,اختلس | خطف | سلب | لطش | لهط | نشل,تفتف | حاف | خمط | خنب | خون | سطا | سكرف | شفر | شفط | شل | طحس | لقف | لهف | نزغ | هف
227,give,donner,أَعْطَى,VERB,جاب,ادى | تبرع | تكرم | سلم | قدم | منح | ناول | هات | هز | وهب | يدي,اسكذه | اسكه | انطى | مكن
228,seat,place,مَقْعَد,NOUN,كرسي | مكان,بلاصة | قعدة | محل,دكة | كشن | كنبة
230,size,taille,مَقاس ، حَجْم,NOUN,طول | قد | قياس,تاي | كبر,قامة
231,"speak , talk",parler,تَحَدَّث ، تَكَلَّم,VERB,سولف | قال | كلم,اتحاكى | تحكى | تناقش | حكى | حكي | خابر | دوى | هدر | هرج,تجابر | اتخابر | تحاكى | دردش | هدرز
232,look for,chercher,بَحَث,VERB,دور | شاف | فتش,ابصر وين | شاف وين | قلب,بحبش | تحرى | حوس | عاين | فركس | لوج | نشد
233,maybe,peut-être,رُبَّما,ADV,احتمال | بالك | بلاك | بلكي | ممكن | يمكن,امكن | قد يكون | لربما | يكون,بيجوز | بالكشي | بلكت | بوسيبل | تقريب | جايز | يستوي
235,case,cas,حالَة,NOUN,كيس | وضع,ظرف | قضية | موضوع,مسألة
236,bed,lit,سَرِير,NOUN,فراش | فرش,عن قريب,تخت | جرباية | قعادة | كرفاية | منام | ناموسية
237,driver 's license,permis de conduire,رُخْصَة قِيادَة,NOUN,رخصة | رخصة سواقة,برمي,اجازة | رخصة القيادة | شهادة | ليسن
238,wonderful,merveilleux,رائِع,ADJ,جميل | حلو | هايل,بيمزع العقل | خطير | رهيب | شي كبير | عجيب | كتيير حلو | كتيير ظريف | ممتاز | واجد زين | يجنن,بجنن | بيخيل | بيعقد | باهر | تحفة | قمة | يخبل
239,plate,assiette,طَبَق,NOUN,صحن,ماعون,صحلة | صونية | طبسي | طبسيل | وعا
240,reconfirm,reconfirmer,أَعاد تَأْكِيد,NOUN,اكد,اتأكد | اكد تاني | اكد مرة تانية | بعده اكد | تأكد | تأكد مرة ثانية | رجع اكد | رد اكد | زاد يأكد | زيد اكد | شيك | شيك مرة ثانية | وكد,اعادة تشييك | عاود كونفيرمى
241,lipstick,rouge à lèvre,أَحْمَر ال+ شِفاه,NOUN,احمر | حمرة | حمير | روج | روج الافر | قلم حمرة,احمر شفايف | حامورة | حومرة,اعكر | بترة | عكار | ماكياج
242,call,appel,مُكالَمَة,NOUN,اتصال,ابال | تلفون | مخابرة,تعيطة
244,fever,fièvre,حُمَّى,NOUN,حرارة | سخانة | سخونة,سخونية,باردة | حرارة مرتفعة
245,old,vieux,قَدِيم,ADJ,شايب | عتيق | كبير,انتيكا | شيباني | شيبة | عجوز | عزوز,شارف
248,picture,photo,صُورَة,NOUN,تصويرة,رسم | رسمة | لوحة,برتريه | تابلوه | فوطو
249,line,ligne,خَطّ,NOUN,سطر,حد | سرا | صف,طابور
250,serve,servir,قَدَّم,VERB,خدم | ضيف,سربى | سيرفى | عمل | غرف | قرب,دنى | سكب
251,idea,idée,فِكْرَة,NOUN,ايدي | راي,اقتراح | رأي,شور
254,pay,payer,دَفَع,VERB,حاسب | خلص | سدد,تك | سلك,اوفى
257,there,là-bas,هُناكَ,ADV,غادي,الغادي | غاد | را,بهناك | تمة | ثما | غاديكا | غديكايا | منناك | هناكهو | تما | تماك | تمايا | مناك | هاناكه | هناكه | هنيكه
259,people,gens,ناس,NOUN,اهل | بشر | شعب | عالم,امم | اوادم | بن آدم | جماهير | جمهور | رجال | عرب | قوم | وادم,امة | جماعة | غاشي
260,subway,métro,مِتْرُو ال+ انَفَاق,NOUN,مترو | مترو الانفاق,قطار | قطار الانفاق,ترين | نفق
261,"baggage , luggage",bagage,مَتاع,NOUN,اغراض | شناطي | شنطة | شنط,باجاج | شحن | شناط | شنطاية | عفش | شوانيط,جنط | حقيبة | شواكيش | ساكوات
263,right,bon,صَحِيح,ADJ,صح,حقيقي | سي فري | عدل | كاين منها | مزيان | مضبوط,باهي
265,price tag,étiquette de prix,بِطاقَة ال+ سِعْر,NOUN,تسعيرة | سعر,بطاقة | تاج | تيكت السعر | تيكي | كرت | كرت السعر | لصقة السعر,تيكة | تيكت | علامة | كارت | لاصق | نمرة
266,put,mettre,وَضَع,VERB,حط,ترك | خلى | دخل | درب | دعا | طرح | فوت,ختى | ذب
268,aisle,couloir,مَمَرّ,NOUN,كولوار,ممشى,حجرة | كردور | مخطف | مزاز
270,wonder,demander,تَساءَل,VERB,استغرب,اتعجب | احتار | تحير | تعجب | عجب | فكر,استفسر | سأل حالو | سقصا
272,join,joindre,ٱِنْضَمّ,VERB,اشترك | دخل | لحق,التحق | انتمى | انخرط | جا | نخرط,دش | ولى
274,family,famille,أُسْرَة,NOUN,اهل | بيت | عائلة | عايلة | عيلة | فاميلية,اولاد | فاميلة | ناس البيت,آل | لافامي
275,building,bâtiment,مَبْنَى,NOUN,بناية | عمارة,بنا | بنيان | بنية,باتيمو | موبل
276,help,aide,مُساعَدَة,NOUN,تعاون | دعم | عون,خدمة | سند | عونة | عوين | مساندة | معاونة | معونة,جميلة | نجدة
277,what time,à quelle heure,مَتَى,ADV,الساعة كم,امتين | اي ساعة | ايا ساعة | ايمتين | على شحال الساعة | متين | وقت ايش | وقتاش | وقتيش,احين | الساعة قداش | ايحين | بتين | مقتاش
278,break,casser,كَسَر,VERB,خرب,صار رجيع | طق | فت | فتت | قسم,بوظ | حطم | دشدش | دقدق | شطف | طبش | طحبش | عطل | هرس | هشم
280,start,commencer,بَدَأ,VERB,ابتدا,بلش | شرع,ابتدى | باشر | بدع | كماصا | مبلش
281,send,envoyer,أَرْسَل,VERB,بعث | ودى,دز | وجه | وصل,صافط | طرش | غدى
283,ready,prêt,جاهِز,ADJ,حاضر | مستعد,خالص | متحضر | مجهز | واجد,بارز | متهيأ | مهيأ | واتي
284,dress,robe,فُسْتان,NOUN,ثوب | روبة,ثوب نسائي | دريس,بدلة | دهداشة | قفطان | كسوة | نفنوف
287,customs,douane,ال+ جَمارِك,NOUN,الجمارك | الجمرك | ديوانة,الجامارك | الرسوم | جمرك,التفتيش | لادوان
289,center,centre,مَرْكَز,NOUN,سنتر | قلب | نص | وسط,سونتر | محور | مقر | وسطة,فسط
290,prescription,ordonnance,رُوشِتَّة ، وصفة دواء,NOUN,وصفة,اردننس | راتشيتة | وصفة طبيب,اردوننس | تذكرة | ورقة الدوا
292,good,bon,جَيِّد,ADJ,تمام | جميل | حلو | زين | كويس | مليح,اوكي | بخير | ترتيب | خير | طيب | ظريف | عظيم | مزيان | ممتاز | منيح,باهر | باهي | بنين | روعة | سوى | يشهي | يهبل
294,do you mind,ça vous déranger,هَلْ تُمانِع,VERB,عندك مانع | لو سمحت | من فضلك,بالله عليك | تسمح | تمام معاك | عفوا | عندك مشكلة | كان ما تراش مانع | كان ما يقلقكش | لا مؤاخذة | لو تتكرم | معليش | ممكن | من رخصتك | نقدر,دتمانع | وخا
295,problem,problème,مُشْكِلَة,NOUN,اشكال,اشكالية | بروبلام | معضلة | ورطة,ازمة | بلشة | خازوق | سالفة | شغلانة | عضيلة
298,include,comprendre,شَمِل,VERB,اشتمل | دخل | ضم,اتضمن | احتوى | تضمن | حوى | داخل فيه | ضمن | فوت | في | فيه,ادرج | خشش
300,hot,chaud,ساخِن,ADJ,حار | حامي | نار,دافي | يحرق,ملهلب | يثور | يكوي
303,return,retour,عَوْدَة,NOUN,رجعة | رجوع,رتور | ردة | روتور | مرواح,اياب | جية | مرواحة
304,elevator,ascenseur,مِصْعَد,NOUN,اسنسور | اسنسير | اسانسير | سانسور,اصنصير | لفت,اصنصيل | صونصير
305,business,affaire,عَمَل,NOUN,بزنس | شغل | شغلة,افير | حاجة | شغلانة | صنعة | مشوار,تبزنيس | خدمة | مهمة
306,find,trouver,وَجَد,VERB,لقى | لقي,جبر | حصل | حصل على | دبر | شاف | لاقى,صاب | عثر
307,stop,arrêter,تَوَقَّف,VERB,بطل | حبس | وقف,اتعطل | انقطع | تعطل | عطل | فصل,امتنع | تبسمر | جمد | جنط
310,see,voir,رَأَى,VERB,شاف,ابصر | اتطلع | بحت | بص | طالع | عاين | لمح | ناظر | نظر,استضا | بصبص | بهت | تشاوف | حتر | رابى
311,suggest,suggérer,ٱِقْتَرَح,VERB,عرض,شاف | طرح | قال,بروبوزا | فرايي | وصى
312,floor,étage,طابِق,NOUN,دور,ايتاج,طاق
314,go,aller,ذَهَب,VERB,راح | طلع | مشى | مشي,تحرك | توكل | خرج | خطي | رحل | سار | فات | مر | نزل,انصرف | ضوى | ولى
317,keep,garder,ٱِحْتَفَظ,VERB,حافظ | حفظ | خلى | خلى عنده | ضم,احتافض ب+ | حافض على | حافظ على | خلى معه,بقى | جاردا | دعى
318,jacket,veste,سُتْرَة,NOUN,جاكت | جاكتة | جاكيت,بلوفر | فيستة | قميص,جاكة | قمصلة | كبوت | كبود | كوت
319,bring,apporter,أَحْضَر,VERB,جاب,ادي | جلب | نزل | هات,ادى
322,like,aimer,أَحَبّ,VERB,اعجب | حابب | عجب,بغى | هوى | هوي,اشتا | اشتي | انعجب | راد | رغب
323,ask,demander,سَأَل,VERB,طلب,استفسر | ناشد | نشد,سقسى
324,exchange,change,صَرْف,NOUN,تبديل,بدل | تحويل | تصريف | تغيير | شونج | مبادلة,مقايضة
326,rent,louer,ٱِسْتَأْجَر,VERB,اجر,اتأجر | كرى,ستقعد
327,departure,départ,مُغادَرَة,NOUN,انطلاق | خروج,خرجة | ديبار | ذهاب | رحيل | روحة | طلوع | مشي,انصراف | سيرة | شومة | طلعة | مرواح
332,box,boîte,صُنْدُوق,NOUN,كرتون | كرتونة,بوكس | حك | حكة | سحارة | علبة,باكو | بواطة | تنكة
334,work,travail,عَمَل,NOUN,دوام | شغل | شغلة,خدمة | موضوع | وظيفة,شغلانة | كد | مهرة | مهمة | مهنة
336,arrive,arriver,وَصَل,VERB,جا,اجى | جه | حل,تبادى
338,press,appuyer,ضَغَط,VERB,زر,برك | داس | عصر | كبس | نزل,اتك | تكى | سدك | فعص | هوس
340,follow,suivre,ٱِتَّبَع,VERB,تتبع | لحق | مشي ورا,راقب | طارد | قطر | لاحق | مشى ورا,ترصد | تعقب | تقفى | تلا | رافق
341,list,liste,قائِمَة,NOUN,جدول | كشف | لستة | ليستة | ليست,لائحة | لايحة,فهرس
343,exit,sortie,خُرُوج,NOUN,الخروج | مخرج | منفذ,طلعة | طلوع,صرفة
344,front,"en face de , face à",أَمام,NOUN,قبال | قدام | مقابل,قبالة | مقابيل | مقدمة | مواجه | واجهة,جدام | فالواجهة | فوش | قصاد
345,single,simple,مُفْرَد,ADJ,فردي | واحد | وحيد,اعزب | عازب | عزابي | فردة | فرودة,بروحه | فرداني | مفرداني
346,part,partie,جُزْء,NOUN,طرف | قسم,برت | حصة | سهم | شقفة | شوي | قطعة,حتة | شطفة | شوية | نتفة | نتيفة
347,use,utiliser,ٱِسْتَخْدَم,VERB,استعمل | خدم | شغل,استغل | اشتغل ب+,تعاطى | استفاد | ستعمل | وظف
349,drink,boisson,مَشْرُوب,NOUN,شراب,بواسون | شربة | عصير,قازوز | جرعة | حاجة نشربها
350,great,génial,عَظِيم,ADJ,حلو | رائع | رهيب | كبير | ممتاز | مهم,جبار | جميل | جيد | خطير | روعة | زين | شديد | شي كبير | ضخم | كلش زين | واعر,آفة | جسيم | داهية | موش نرمال | هايل
351,drop,tomber,سَقَط,VERB,طاح | نزل | وقع,انفلت | تفلت | طب | فلت | كت | هبط,اتدرب | انحدر | انسلخ | انكب | انكت | طبش | كب | نطل | نكع | وطي
352,happen,passer,حَدَث,VERB,جرى | حصل | صار | وقع,صرى | طرا | طرى,استوى | جرا | داز | صاب
353,change,monnaie,فَكَّة,NOUN,صرف,تبديل | خردة | صرافة | فلوس,فراطة
355,fill,remplir,مَلَأ,VERB,ترا | عبا | عمر,حشا | عبى فل | فول,ترس
356,ticket,billet,تَذْكَرَة,NOUN,تكت,بطاقة | بطاقة دخول | تيكي | تيكا,بيي | تسكرة
